Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
L,"Loews Corp",42.26,-0.29,-0.68%,42.97,43.43,42.24,559732,"15:43 ET"
LAMR,"Lamar Advertis A",76.47,-2.35,-2.98%,77.29,79.13,76.1,491343,"15:41 ET"
LAZ,"Lazard Ltd",36.49,-0.2,-0.55%,36.84,37.07,35.94,339701,"15:41 ET"
LB,"L Brands Inc",33.93,1.41,+4.34%,32.82,33.93,32.41,2203170,"15:43 ET"
LBRDA,"Liberty Broadbd A",147.89,2.74,+1.89%,144.75,148.47,143.56,59043,"15:41 ET"
LBRDK,"Liberty Broadbd C",148.56,3.01,+2.07%,144.88,149.19,143.96,651307,"15:42 ET"
LDOS,"Leidos Holdings Inc",95.31,0.68000000000001,+0.72%,94.43,96.05,93.9,349202,"15:43 ET"
LEA,"Lear Corp",137.22,1.81,+1.34%,136.49,139.49,135.91,336648,"15:43 ET"
LECO,"Lincoln Elec Hld",111.45,3.21,+2.97%,108.99,112.07,108.21,152263,"15:41 ET"
LEG,"Leggett & Platt Inc",42.95,1.15,+2.75%,42.11,43.44,41.81,596504,"15:43 ET"
LEN,"Lennar Corp",75.17,4.77,+6.78%,70.94,75.92,69.69,4439519,"15:43 ET"
LEN.B,"Lennar Corp Cl B",60.87,4.02,+7.07%,57.4,61.49,56.15,134177,"15:43 ET"
LFUS,"Littelfuse Inc",220.79,6.12,+2.85%,213.77,223.25,213,174411,"15:43 ET"
LGF.A,"Lions Gate Entertainment Corp Cl A",8.85,0.51,+6.12%,8.65,9,8.25,1338495,"15:42 ET"
LGF.B,"Lions Gate Entertainment Corp Cl B",8.3,0.48,+6.14%,7.8,8.34,7.72,939411,"15:34 ET"
LH,"Laboratory Corp of America Holdings",199.14,0.58999999999997,+0.30%,199.86,201.39,192.79,658988,"15:41 ET"
LHX,"L3Harris Technologies Inc",190.11,4.26,+2.29%,187.89,192.54,185.53,1294980,"15:43 ET"
LII,"Lennox International",295.15,3.32,+1.14%,295.28,299.14,292.76,225393,"15:42 ET"
LIN,"Linde Plc",261.61,3.96,+1.54%,262.51,264.5,259.71,1351818,"15:43 ET"
LITE,"Lumentum Hld",84.39,-4.2,-4.74%,87.19,88.15,83.42,896414,"15:43 ET"
LKQ,"LKQ Corp",37,1.56,+4.40%,35.55,37.28,35.32,2199460,"15:43 ET"
LLY,"Eli Lilly and Company",148.07,5.74,+4.03%,147.6,149.2,143.79,4061856,"15:43 ET"
LMND,"Lemonade Inc",66.77,1.15,+1.75%,65,68.64,60.12,1104636,"15:42 ET"
LMT,"Lockheed Martin Corp",371.89,7.94,+2.18%,365,373.43,363.94,1261168,"15:43 ET"
LNC,"Lincoln National Corp",42.32,-0.31,-0.73%,42.98,42.99,41.1,2043910,"15:43 ET"
LNG,"Cheniere Energy",51.74,-0.059999999999995,-0.12%,52.14,52.56,50.77,1655414,"15:43 ET"
LNT,"Alliant Energy Corp",56.71,0.079999999999998,+0.14%,56.41,57.38,56.41,757210,"15:40 ET"
LOPE,"Grand Canyon Educati",84.18,-0.30999999999999,-0.37%,83.82,86.71,82.45,302590,"15:42 ET"
LOW,"Lowe's Companies",156.41,2.96,+1.93%,155.6,157.34,153.01,4402058,"15:43 ET"
LPLA,"Lpl Financial Hld",88.07,2.23,+2.60%,85.86,88.07,84.07,477244,"15:43 ET"
LRCX,"Lam Research Corp",410.25,-6.03,-1.45%,409.09,415.74,404.46,1006562,"15:42 ET"
LSI,"Life Storage",114,7.82,+7.36%,105.86,114.17,105.43,392442,"15:41 ET"
LSTR,"Landstar System",130.13,5.46,+4.38%,125.27,130.65,123.34,261672,"15:42 ET"
LSXMA,"Liberty Srs XM CS A",39.53,-0.060000000000002,-0.15%,39.35,40.32,39.04,332095,"15:42 ET"
LSXMK,"Liberty Srs XM CS C",39.64,-0.009999999999998,-0.03%,39.19,40.42,38.94,411018,"15:42 ET"
LULU,"Lululemon Athletica",322.24,-4.72,-1.44%,326.18,328.52,311.04,1192963,"15:43 ET"
LUMN,Centurylink,9.79,0.54,+5.84%,9.25,9.85,9.25,11836669,"15:43 ET"
LUV,"Southwest Airlines Company",44.88,0.99,+2.26%,43.88,45.24,43.33,14090042,"15:43 ET"
LVS,"Las Vegas Sands",58.23,0.36,+0.62%,58.35,59.4,57.07,5547152,"15:43 ET"
LW,"Lamb Weston Holdings Inc",76.23,0.36,+0.47%,76.46,76.92,75.24,650757,"15:43 ET"
LYB,"Lyondellbasell Industries NV",81.56,2.17,+2.73%,80.38,82.54,79.51,2084006,"15:42 ET"
LYFT,"Lyft Inc Cl A",36.57,-1.12,-2.97%,36.78,38.2,36.3,14841300,"15:43 ET"
LYV,"Live Nation Entertainment",64.94,0.58,+0.90%,62.75,65.06,62,4325453,"15:43 ET"
MA,"Mastercard Inc",334.93,-9.63,-2.79%,339.99,345.86,333.49,3809326,"15:43 ET"
MAA,"Mid-America Apartment Communities",129.86,4.25,+3.38%,126.06,130.18,125.41,529243,"15:42 ET"
MAN,"Manpower Inc",85.73,0.89,+1.05%,85.61,87.26,84.91,419995,"15:43 ET"
MANH,"Manhattan Assoc",93.64,-1.89,-1.98%,97,101.13,92.68,499628,"15:43 ET"
MAR,"Marriot Int Cl A",118.4,0.10000000000001,+0.08%,123.05,131.9,113.6,18307085,"15:43 ET"
MAS,"Masco Corp",53.81,0.07,+0.13%,53.62,54.38,52.99,2194053,"15:43 ET"
MASI,"Masimo Corp",243.2,1,+0.41%,254.2,255.72,236.61,1063803,"15:43 ET"
MAT,"Mattel Inc",14,0.46,+3.40%,14.61,14.68,13.4,7569914,"15:43 ET"
MCD,"McDonald's Corp",213.29,0.069999999999993,+0.03%,215.75,215.99,211.34,2894896,"15:43 ET"
