Symbol,Name,Sector,sss_value,close,appearance_counter
TLV:SPGE,SUPERGAS ENERGY LT,Utilities,859.27359,6790.0,13.2558
TLV:GOSS,G 1 SECURE SOL,Industrials,1590.52957,627.2,13.0954
TLV:ALHE,ALONY HETZ,Real Estate,543082.51441,4655.0,13.0571
TLV:DNYA,DNYA CEBUS,Real Estate,11381.72271,7625.0,12.94
TLV:POLI,BANK HAPOALIM B.M.,Financial Services,27008281619.07409,2622.0,12.4622
TLV:OVRS,OVERSEAS,Industrials,89646.32418,450.1,12.4186
TLV:ASPF,ALTSHULER SHAHM,Financial Services,6219.65755,1934.0,12.4056
TLV:ASGR,ASPEN GROUP LTD,Real Estate,2808639.2466,806.7,12.2724
TLV:SHNP,E SCHNAPP CO WORKS,Consumer Cyclical,3657.23729,2058.0,12.2654
TLV:ARYT,ARYT INDUSTRIES,Technology,74151157.71819,124.3,12.227
TLV:ZUR,ZUR SHAMIR HOLD,Financial Services,3921231518426.088,1067.0,12.0743
TLV:FRSM,FRESHMARKET LTD,Consumer Defensive,28.55081,1233.0,12.0439
TLV:RIT1,REIT 1 LTD,Real Estate,39956645.22889,1763.0,11.9147
TLV:ARPT,AIRPORT CITY,Real Estate,301627.7195,5675.0,11.8556
TLV:CLBV,CLAL INDUSTRI.&.B,Consumer Defensive,50.92208,4278.0,11.7772
TLV:NAWI,NAWI BROTHERS GROU,Financial Services,4074103.41386,2467.0,11.663
TLV:DIMRI,DIMRI BUILDING,Real Estate,2737978816.49932,19500.0,11.6456
TLV:TSEM,TOWER SEMICONDUCTO,Technology,117101.42435,8962.0,11.2304
TLV:YHNF,M YOCHANANOF & SON,Consumer Defensive,35997.15534,21080.0,11.1141
TLV:TOPS,TOP RAMDOR SYSTEMS,Technology,21559.24148,960.9,10.9894
TLV:XENA,XENIA VENTURE,Financial Services,80378027.22496,297.9,10.9451
TLV:ZNKL,ZANLAKOL,Consumer Defensive,2394.53381,1816.0,10.7928
TLV:PLCR,PLASTO CARGAL,Consumer Cyclical,128955.31446,445.7,10.7791
TLV:DIPL,DIPLOMAT HOLDINGS,Consumer Defensive,2.57811,6206.0,10.6507
TLV:PPIL,PLASTOPIL HAZOREA,Consumer Cyclical,110.67726,659.0,10.3267
TLV:SPEN,SHAPIR ENGINEERING,Industrials,1551938.95214,2428.0,10.286
TLV:ACE,ACE CAPITAL RETAIL,Consumer Cyclical,30483.39994,2081.0,10.0532
TLV:MMAN,MAMAN CARGO TERMIN,Industrials,53389.70197,699.8,9.9468
TLV:NVLG,NOVOLOG,Healthcare,293111.85221,294.4,9.7049
TLV:LUMI,BK LEUMI LE ISRAEL,Financial Services,1040378432099.5399,2548.0,9.6248
TLV:TAYA,TAYA INVESTMENT CO,Communication Services,23438.69708,6334.0,9.2307
TLV:DSCT,ISRAEL DISCOUNT BK,Financial Services,198716358168.35785,1542.0,8.9043
TLV:PEN,PENINSULA GROUP,Financial Services,662289552694.5917,352.2,8.874
TLV:ISHI,ISRAEL SHIPYARDS,Industrials,206313.73977,7266.0,8.7715
TLV:DRSL,DORSEL (B.A.Z.),Real Estate,624140.77313,1430.0,8.6322
TLV:VTNA,VITANIA LTD,Real Estate,973551.85353,2454.0,8.5279
TLV:ELCRE,ELECTRA REAL ESTAT,Real Estate,18268691.61518,4311.0,8.4081
TLV:TREN,TRENDLINE INFO & C,Communication Services,107.48887,1557.0,8.0853
TLV:BIRM,BIRMAN WOOD,Industrials,1435.51051,1761.0,8.0585
TLV:DIFI,DIRECT FINANCE OF,Financial Services,1644996977125.5515,66970.0,8.0469
TLV:ELDAV,ELDAV INVESTMENTS,Financial Services,370795310.87665,237.5,7.9691
TLV:TDRN,TADIRAN GROUP LTD,Consumer Cyclical,578486.48744,38080.0,7.6829
TLV:NXTM,NEXTCOM,Communication Services,982.99108,1333.0,7.6784
TLV:DLTI,DELTA ISRAEL BRAND,Consumer Cyclical,54056.61635,6385.0,7.6562
TLV:MMHD,MENORA MIVTACHIM,Financial Services,573741123.53426,6833.0,7.6218
TLV:ELCO,ELCO LTD,Industrials,9838549.07709,19230.0,7.5792
TLV:MGIC,MAGIC SOFTWARE ENT,Technology,815303.20095,5114.0,7.535
TLV:AVIV,MORDECHAI AVIV,Real Estate,2532.38655,2860.0,7.3963
TLV:BCNV,BRACK CAPITAL PROP,Real Estate,49536906.81418,35190.0,7.2808
TLV:PHOE,PHOENIX HLDGS LTD,Financial Services,1262433106.63672,3008.0,7.1158
TLV:CRSO,CARASSO MOTORS LTD,Consumer Cyclical,12617943127.62052,1711.0,7.0219
TLV:MZTF,MIZRAHI TEFAHOT BK,Financial Services,1246382646123.3599,9998.0,6.9999
TLV:OPAL,OPAL BALANCE INV,Financial Services,585397.43967,348.4,6.8027
TLV:MAXO,MAX STOCK LTD.,Consumer Cyclical,24660.14979,1234.0,6.6071
TLV:AURA,AURA INVESTMENTS,Real Estate,1170977.8404,338.0,6.4666
TLV:ISCD,ISRACARD LTD,Financial Services,2137060.28078,1303.0,6.3841
TLV:ELSPC,ELSPEC ENGINEERING,Industrials,292.20761,438.7,6.2214
TLV:AUDC,AUDIOCODES,Technology,1847249.6501,11450.0,6.1142
TLV:LAPD,LAPIDOTH CAP,Energy,231733746008.66357,3782.0,6.038
TLV:RPAC,RAPAC COMM & INFRA,Energy,75610.7675,3150.0,6.027
TLV:ARD,ARAD LTD,Technology,164542.07128,4486.0,5.5912
TLV:GNGR,GINEGAR PLASTIC,Consumer Cyclical,4711.92657,1861.0,5.4928
TLV:LUZN,AMOS LUZON DEVELOP,Industrials,188208.29417,157.3,5.2719
TLV:LUDN,LUDAN ENGINEERING,Industrials,6542.02242,1074.0,5.2017
TLV:EXPO,EXPORT INVESTMENT,Financial Services,118833376216.1371,2856.0,5.044
TLV:HUB,None,Technology,167.09774,341.8,4.9986
TLV:ENRG,ENERGIXS-RENEWABLE,Technology,1300123.59298,1263.0,4.875
