Symbol,Name,Sector,sss_value,close,appearance_counter
PNW,Pinnacle West Capital Corporati,Utilities,5151951.3931,84.59,3.1089
THG,Hanover Insurance Group Inc,Financial Services,2012809.96028,132.93,3.1086
NTRS,Northern Trust Corporation,Financial Services,91832372.45729,112.53,3.0989
VNT,Vontier Corporation,Technology,138391837.26183,33.26,3.0831
SLGN,Silgan Holdings Inc.,Consumer Cyclical,2482317.78616,41.13,3.0528
IT,Gartner  Inc.,Technology,1299963182.88233,233.87,3.0513
CRM,Salesforce.com Inc,Technology,22516131.01343,244.43,3.0423
QRTEA,Liberty Interactive Corporation,Consumer Cyclical,105511.30683,13.05,3.0416
GLW,Corning Incorporated,Technology,1910803.35167,39.32,2.9898
OGN,Organon & Co.,Healthcare,121215.15809,31.46,2.9864
LIN,Linde plc,Basic Materials,27777443.30808,287.24,2.9843
AAP,Advance Auto Parts Inc Advance ,Consumer Cyclical,398855.51552,194.39,2.9733
RGA,Reinsurance Group of America  I,Financial Services,359986.99208,116.0,2.9346
OMC,Omnicom Group Inc.,Communication Services,22979799.59728,80.82,2.9227
KRC,Kilroy Realty Corporation,Real Estate,93032.4569,70.94,2.9154
ANET,Arista Networks  Inc.,Technology,220866228.38991,370.04,2.8629
MKC,McCormick & Company  Incorporat,Consumer Defensive,26764664.29048,87.54,2.8454
AON,Aon plc,Financial Services,242582453.69995,232.84,2.8413
FNB,F.N.B. Corporation,Financial Services,1717699.31861,12.26,2.8342
WAB,Westinghouse Air Brake Technolo,Industrials,4473729.42991,77.83,2.8283
ETN,Eaton Corporation  PLC,Industrials,189316049.46898,142.62,2.8166
INTU,Intuit Inc.,Technology,21017769056.20377,474.73,2.8058
SNDR,Schneider National  Inc.,Industrials,1040.11419,21.41,2.7858
AVT,Avnet  Inc.,Technology,255783.52206,40.63,2.7788
PKG,Packaging Corporation of Americ,Consumer Cyclical,873392.26178,133.81,2.771
AFG,American Financial Group  Inc.,Financial Services,423145.9672,121.88,2.7436
HSY,The Hershey Company,Consumer Defensive,529107720.45959,173.51,2.719
TPX,Tempur Sealy International  Inc,Consumer Cyclical,11840833.87507,37.29,2.715
WM,Waste Management  Inc.,Industrials,454866827.16224,139.3,2.6879
GILD,Gilead Sciences  Inc.,Healthcare,15259109.61762,67.22,2.6864
BLK,BlackRock  Inc.,Financial Services,763454694.22611,868.82,2.6804
FFIV,F5 Networks  Inc.,Technology,18557829.99762,187.89,2.6304
STWD,STARWOOD PROPERTY TRUST  INC. S,Real Estate,441641871.80157,25.72,2.6212
CNXC,Concentrix Corporation,Technology,308804435.23465,154.85,2.6154
HSIC,Henry Schein  Inc.,Healthcare,1224030.62246,76.69,2.6088
WBS,Webster Financial Corporation,Financial Services,1723957.31326,53.49,2.5947
XRX,Xerox Holdings Corporation,Technology,526002.61071,23.63,2.5889
HE,Hawaiian Electric Industries  I,Utilities,16353009.08681,43.51,2.5849
