pi,ev,pe,evr / pm,0.202,3.15331,5.8275,9.94825,21.08482,39.5317,93.65682
0.000012,301.000000,4.414572,0.766252,24.000000,22.000000,18.000000,13.000000,7.000000,0.000000,0.000000
0.000012,301.000000,4.414572,0.454205,18.000000,16.000000,13.000000,8.000000,0.000000,0.000000,0.000000
0.000012,301.000000,4.414572,0.259234,8.000000,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,301.000000,3.175803,3811.102525,48.000000,44.000000,40.000000,29.000000,20.000000,13.000000,0.000000
0.000012,301.000000,3.175803,9.633864,37.000000,35.000000,32.000000,24.000000,18.000000,12.000000,0.000000
0.000012,301.000000,3.175803,3.917775,31.000000,29.000000,26.000000,19.000000,13.000000,8.000000,0.000000
0.000012,301.000000,3.175803,1.810113,26.000000,24.000000,21.000000,14.000000,8.000000,0.000000,0.000000
0.000012,301.000000,3.175803,0.766252,19.000000,17.000000,14.000000,10.000000,0.000000,0.000000,0.000000
0.000012,301.000000,3.175803,0.454205,14.000000,12.000000,10.000000,0.000000,0.000000,0.000000,0.000000
0.000012,301.000000,3.175803,0.259234,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,301.000000,2.108153,3811.102525,19.000000,16.000000,15.000000,12.000000,0.000000,0.000000,0.000000
0.000012,301.000000,2.108153,9.633864,11.000000,10.000000,10.000000,9.000000,0.000000,0.000000,0.000000
0.000012,301.000000,2.108153,3.917775,11.000000,10.000000,10.000000,9.000000,0.000000,0.000000,0.000000
0.000012,301.000000,2.108153,1.810113,9.000000,8.000000,8.000000,7.000000,0.000000,0.000000,0.000000
0.000012,301.000000,2.108153,0.766252,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,301.000000,2.108153,0.454205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,301.000000,2.108153,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,27150.579482,3811.102525,80.000000,73.000000,67.000000,52.000000,42.000000,33.000000,20.000000
0.000012,1114.000000,27150.579482,9.633864,64.000000,59.000000,54.000000,42.000000,35.000000,27.000000,15.000000
0.000012,1114.000000,27150.579482,3.917775,43.000000,39.000000,35.000000,25.000000,18.000000,11.000000,0.000000
0.000012,1114.000000,27150.579482,1.810113,32.000000,29.000000,25.000000,17.000000,10.000000,0.000000,0.000000
0.000012,1114.000000,27150.579482,0.766252,18.000000,15.000000,14.000000,9.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,27150.579482,0.454205,9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,27150.579482,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,19.094729,3811.102525,73.000000,68.000000,62.000000,47.000000,37.000000,29.000000,19.000000
0.000012,1114.000000,19.094729,9.633864,58.000000,55.000000,50.000000,38.000000,31.000000,23.000000,14.000000
0.000012,1114.000000,19.094729,3.917775,40.000000,38.000000,34.000000,24.000000,17.000000,10.000000,0.000000
0.000012,1114.000000,19.094729,1.810113,30.000000,29.000000,25.000000,17.000000,10.000000,0.000000,0.000000
0.000012,1114.000000,19.094729,0.766252,16.000000,15.000000,14.000000,9.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,19.094729,0.454205,7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,19.094729,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,9.266744,3811.102525,57.000000,52.000000,48.000000,38.000000,28.000000,21.000000,16.000000
0.000012,1114.000000,9.266744,9.633864,43.000000,40.000000,37.000000,30.000000,23.000000,16.000000,11.000000
0.000012,1114.000000,9.266744,3.917775,32.000000,30.000000,27.000000,21.000000,14.000000,8.000000,0.000000
0.000012,1114.000000,9.266744,1.810113,25.000000,24.000000,21.000000,16.000000,9.000000,0.000000,0.000000
0.000012,1114.000000,9.266744,0.766252,12.000000,11.000000,10.000000,8.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,9.266744,0.454205,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,9.266744,0.259234,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000012,1114.000000,5.685544,3811.102525,46.000000,41.000000,38.000000,29.000000,20.000000,16.000000,14.000000
0.000012,1114.000000,5.685544,9.633864,32.000000,29.000000,27.000000,21.000000,15.000000,11.000000,9.000000
